PF14749.5	25.00
PF12590.7	22.00
PF12186.7	19.80
PF12418.7	21.20
PF00708.17	22.50
PF01553.20	21.10
PF16076.4	26.50
PF02551.14	20.70
PF00698.20	32.70
PF02273.14	20.30
PF01757.21	31.00
PF16214.4	30.90
PF09793.8	23.40
PF10198.8	24.50
PF16698.4	26.20
PF08516.11	23.10
PF05986.13	20.80
PF10199.8	32.00
PF01602.19	37.00
PF00928.20	31.60
PF02805.15	20.90
PF06314.10	29.80
PF13382.5	27.00
PF03352.12	25.00
PF04008.13	25.00
PF02438.15	25.00
PF03052.14	25.00
PF02703.13	24.90
PF01691.15	25.00
PF01696.16	22.00
PF04623.11	25.00
PF06040.10	25.00
PF05248.11	25.20
PF03376.13	25.00
PF04834.11	23.60
PF03307.13	25.00
PF02440.14	26.00
PF02439.14	26.20
PF05385.10	25.00
PF04528.12	25.00
PF06931.10	25.00
PF04881.12	20.50
PF01065.18	18.60
PF03678.13	21.40
PF02456.14	20.10
PF00541.16	25.00
PF01686.16	25.00
PF03955.13	21.80
PF03910.12	23.30
PF01310.17	25.00
PF05829.11	25.00
PF00608.16	31.50
PF02459.14	20.60
PF03228.13	21.20
PF16579.4	27.10
PF01295.17	21.80
PF00709.20	19.90
PF12633.6	21.60
PF04439.11	20.60
PF16812.4	27.00
PF09085.9	25.00
PF04619.11	20.60
PF16747.4	27.00
PF03257.12	25.00
PF08240.11	21.00
PF16884.4	31.00
PF13823.5	25.00
PF00106.24	26.60
PF13561.5	27.00
PF00107.25	30.20
PF13602.5	27.00
PF11559.7	30.70
PF15202.5	27.00
PF06377.10	22.90
PF00406.21	26.80
PF05191.13	24.00
PF05221.16	25.00
PF00670.20	21.70
PF08132.10	25.00
PF02675.14	25.00
PF07757.12	20.20
PF01941.18	27.00
PF03496.13	23.40
PF04587.14	20.90
PF03747.13	26.20
PF10397.8	30.10
PF08509.10	20.10
PF16701.4	27.00
PF06355.12	20.60
PF17049.4	27.00
PF01117.19	24.30
PF05110.12	29.90
PF14591.5	22.60
PF14556.5	150.00
PF05775.11	21.50
PF15339.5	27.00
PF03969.15	20.20
PF07792.11	25.50
PF08493.9	20.80
PF01314.17	19.90
PF02730.14	20.90
PF02420.14	36.50
PF03756.12	21.30
PF08731.10	21.60
PF11786.7	25.00
PF11787.7	25.00
PF11785.7	21.60
PF12249.7	25.00
PF12250.7	23.10
PF04671.11	20.70
PF17366.1	25.00
PF05641.11	27.00
PF07468.10	25.00
PF17558.1	27.00
PF09171.9	22.50
PF05039.11	21.80
PF10427.8	21.00
PF06376.11	25.00
PF04647.14	23.00
PF05931.10	22.70
PF04730.11	25.00
PF11440.7	25.00
PF06396.10	25.00
PF09229.10	22.50
PF14412.5	19.70
PF17327.1	25.00
PF00578.20	21.30
PF13911.5	27.00
PF08327.10	22.00
PF09236.9	20.50
PF01594.15	27.20
PF15334.5	27.00
PF01808.17	25.00
PF16168.4	27.00
PF14186.5	25.00
PF08910.9	25.00
PF14962.5	27.90
PF14721.5	25.90
PF04548.15	27.00
PF13772.5	27.00
PF06316.10	20.80
PF10315.8	28.30
PF11489.7	18.20
PF01987.16	20.80
PF17096.4	25.40
PF17050.4	27.00
PF16780.4	27.00
PF03915.12	28.20
PF10592.8	25.00
PF00731.19	29.30
PF00586.23	24.00
PF02769.21	23.10
PF15298.5	27.00
PF14469.5	21.60
PF15304.5	27.00
PF10469.8	24.40
PF10470.8	22.70
PF04988.11	25.60
PF05716.12	25.00
PF12443.7	28.10
PF00490.20	22.30
PF01262.20	23.00
PF05222.14	29.50
PF06610.12	25.00
PF11839.7	23.00
PF00842.20	25.00
PF01168.19	22.40
PF09135.10	20.40
PF01918.20	22.50
PF04326.13	25.30
PF08027.10	20.20
PF16720.4	23.40
PF11606.7	25.00
PF00171.21	23.00
PF01081.18	23.20
PF00596.20	22.00
PF01263.19	21.80
PF00248.20	21.00
PF11266.7	21.60
PF01315.21	20.60
PF02738.17	21.50
PF03752.12	25.40
PF12165.7	21.00
PF15924.4	24.50
PF08660.10	20.90
PF05208.12	21.50
PF03155.14	25.00
PF11182.7	29.40
PF13372.5	25.20
PF05426.11	21.40
PF08787.10	29.70
PF16822.4	26.50
PF13949.5	29.80
PF06029.10	26.00
PF14864.5	27.00
PF14863.5	26.00
PF00245.19	24.40
PF03561.14	21.60
PF05953.11	33.50
PF06351.10	31.20
PF05549.10	24.90
PF04864.12	22.00
PF15309.5	27.00
PF11744.7	20.60
PF04030.13	20.80
PF17527.1	25.00
PF06401.10	23.90
PF06400.10	27.30
PF00128.23	20.30
PF02806.17	21.20
PF02903.13	21.20
PF09071.9	20.80
PF07821.11	20.10
PF04168.11	20.80
PF14456.5	25.00
PF06964.11	21.80
PF09261.10	21.30
PF17480.1	25.00
PF08829.9	25.00
PF02883.19	25.50
PF02296.15	25.40
PF01589.15	25.00
PF00943.18	19.50
PF01563.15	25.00
PF03229.12	21.00
PF02816.17	21.30
PF01120.16	25.20
PF02232.14	25.00
PF09608.9	24.50
PF15729.4	27.00
PF15299.5	28.90
PF10369.8	23.20
PF16541.4	27.50
PF11092.7	25.00
PF02430.14	21.00
PF07344.10	27.20
PF03913.12	25.00
PF12475.7	25.00
PF05111.11	25.00
PF02948.14	22.10
PF15757.4	27.00
PF12190.7	25.00
PF04709.11	20.00
PF01425.20	20.10
PF12123.7	28.20
PF01510.24	21.10
PF01520.17	21.10
PF05382.12	20.40
PF12671.6	21.70
PF02274.16	22.00
PF01979.19	21.60
PF04909.13	26.00
PF07969.10	29.70
PF12224.7	21.40
PF09663.9	25.00
PF11741.7	20.50
PF10706.8	20.90
PF10023.8	25.00
PF00155.20	19.70
PF00202.20	21.00
PF01063.18	28.50
PF00266.18	21.50
PF12897.6	20.30
PF01593.23	19.80
PF02293.14	25.00
PF10997.7	20.40
PF01871.16	25.00
PF00909.20	19.20
PF14828.5	30.00
PF10423.8	20.90
PF02461.15	27.50
PF04896.11	25.00
PF03782.16	25.00
PF00501.27	22.00
PF13193.5	24.50
PF14535.5	25.00
PF17113.4	50.00
PF16561.4	26.80
PF04739.14	24.30
PF05195.15	20.40
PF12859.6	25.00
PF03256.15	19.90
PF15243.5	27.00
PF17256.1	25.00
PF08672.10	20.30
PF12895.6	27.20
PF12896.6	23.00
PF12894.6	22.90
PF12862.6	23.00
PF04049.12	23.60
PF12856.6	25.00
PF10471.8	24.50
PF01821.17	21.40
PF02166.15	23.50
PF06369.11	25.00
PF03139.14	27.00
PF09582.9	26.00
PF01094.27	25.40
PF12240.7	23.50
PF08174.10	21.50
PF16018.4	27.00
PF00023.29	21.10
PF07260.10	20.70
PF12796.6	27.10
PF13606.5	22.30
PF13637.5	22.70
PF13857.5	27.00
PF03702.13	24.00
PF00191.19	20.90
PF04547.11	28.00
PF16178.4	29.30
PF10731.8	25.00
PF00212.17	21.20
PF03452.13	28.80
PF03374.13	24.80
PF08346.11	20.50
PF03861.13	27.20
PF07651.15	21.50
PF09156.9	25.00
PF03497.15	25.00
PF05587.12	26.90
PF04715.12	21.00
PF10796.8	22.80
PF15777.4	32.00
PF02522.13	25.00
PF08264.12	25.10
PF11410.7	21.00
PF11402.7	25.00
PF11641.7	25.00
PF16364.4	23.20
PF09255.9	25.00
PF08105.10	25.00
PF08106.10	25.00
PF08107.10	21.10
PF08108.10	25.00
PF08109.10	21.00
PF08110.11	22.70
PF08129.10	25.00
PF08130.10	25.00
PF08225.10	19.40
PF08256.10	20.60
PF14861.5	27.00
PF16047.4	27.00
PF16048.4	25.00
PF16049.4	26.00
PF16839.4	27.00
PF08018.10	21.20
PF08023.11	20.90
PF08025.10	25.00
PF08024.10	25.00
PF08026.10	25.00
PF08036.10	25.00
PF08102.10	25.00
PF08103.10	21.40
PF08104.10	25.00
PF03230.12	25.00
PF02822.13	21.20
PF03589.12	26.70
PF05586.10	25.00
PF15721.4	27.00
PF03098.14	25.00
PF01786.16	22.50
PF15001.5	30.70
PF15745.4	27.00
PF00847.19	20.60
PF14796.5	27.00
PF06375.10	26.40
PF14807.5	27.00
PF11289.7	20.20
PF02558.15	22.20
PF08546.10	21.60
PF02424.14	20.00
PF05839.10	21.50
PF05841.10	25.00
PF14921.5	27.00
PF05972.10	19.40
PF05956.10	25.00
PF16689.4	26.70
PF05923.11	19.90
PF16634.4	26.00
PF16635.4	29.70
PF16636.4	27.50
PF16630.4	27.00
PF16633.4	25.00
PF16977.4	26.50
PF15360.5	27.00
PF04110.12	22.80
PF04108.11	25.00
PF04106.11	20.30
PF04111.11	33.30
PF04109.15	21.70
PF01636.22	23.20
PF06105.11	25.60
PF14557.5	27.00
PF04655.13	20.40
PF05918.10	24.30
PF00807.16	25.00
PF11671.7	25.00
PF05355.10	22.10
PF05778.11	28.00
PF05418.10	20.10
PF04711.12	27.00
PF12491.7	21.20
PF05240.13	23.50
PF08210.10	21.70
PF04691.11	27.60
PF15119.5	27.00
PF01333.18	29.70
PF16639.4	30.00
PF05461.10	25.90
PF01442.17	90.00
PF15148.5	27.00
PF07464.10	35.00
PF11032.7	21.80
PF09769.8	26.80
PF05634.10	25.00
PF10515.8	19.90
PF12924.6	26.40
PF12925.6	21.90
PF02177.15	22.10
PF12716.6	25.00
PF12139.7	25.00
PF01583.19	21.10
PF03440.13	25.00
PF10351.8	26.70
PF06079.10	21.50
PF01261.23	27.50
PF07582.11	20.80
PF16399.4	27.00
PF12489.7	22.10
PF09206.10	25.00
PF12625.6	26.10
PF02610.14	29.20
PF11762.7	25.00
PF04602.11	25.00
PF14896.5	25.00
PF02311.18	21.10
PF14525.5	27.00
PF06719.12	24.20
PF06081.10	21.00
PF11728.7	22.10
PF10334.8	24.70
PF10337.8	23.50
PF09692.9	25.00
PF09757.8	28.90
PF03869.13	20.40
PF12942.6	25.60
PF01951.15	25.00
PF01917.15	29.50
PF04659.12	20.80
PF06819.10	21.20
PF06847.10	29.90
PF08394.9	20.80
PF03079.13	21.00
PF07275.10	24.80
PF07573.10	21.50
PF17296.1	27.00
PF00798.17	25.00
PF17290.1	27.00
PF00843.16	23.50
PF06317.10	25.00
PF00025.20	22.30
PF14949.5	27.00
PF06456.12	32.00
PF01412.17	28.00
PF00491.20	22.00
PF00764.18	21.00
PF01960.17	25.00
PF03308.15	23.10
PF15346.5	27.00
PF08699.9	20.90
PF16488.4	27.40
PF16487.4	27.50
PF16486.4	30.70
PF11581.7	25.00
PF01316.20	21.00
PF02863.17	25.00
PF03485.15	21.30
PF15441.5	27.00
PF01388.20	23.60
PF06770.10	21.10
PF15840.4	27.00
PF11527.7	23.00
